epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,310.587,0.49403,0.30811,0.89142,0.99865,1,0.995,0.89497,0.48104,0.25185,0.83817,0.0002378,0.0002378,0.0002378
91,317.076,0.35945,0.26069,0.81157,0.99871,1,0.995,0.89465,0.50341,0.24994,0.84276,0.000218,0.000218,0.000218
92,320.982,0.37237,0.25586,0.80746,0.99876,1,0.995,0.89793,0.48821,0.2501,0.83637,0.0001982,0.0001982,0.0001982
93,324.84,0.36229,0.25263,0.80178,0.99875,1,0.995,0.8926,0.48646,0.254,0.83884,0.0001784,0.0001784,0.0001784
94,327.772,0.35895,0.24255,0.82574,0.9988,1,0.995,0.8801,0.51334,0.25472,0.84645,0.0001586,0.0001586,0.0001586
95,330.477,0.36232,0.23902,0.82417,0.99882,1,0.995,0.8805,0.53117,0.24989,0.84563,0.0001388,0.0001388,0.0001388
96,333.139,0.35286,0.23492,0.79744,0.99882,1,0.995,0.89458,0.5099,0.25529,0.8409,0.000119,0.000119,0.000119
97,335.895,0.35828,0.23612,0.82577,0.99882,1,0.995,0.9102,0.49022,0.25396,0.84111,9.92e-05,9.92e-05,9.92e-05
98,338.657,0.35066,0.23573,0.81653,0.99878,1,0.995,0.90869,0.48972,0.24862,0.84153,7.94e-05,7.94e-05,7.94e-05
99,341.352,0.34616,0.22518,0.80892,0.99878,1,0.995,0.90854,0.48629,0.24675,0.83904,5.96e-05,5.96e-05,5.96e-05
100,344.233,0.33961,0.22967,0.80283,0.99878,1,0.995,0.90637,0.48351,0.24759,0.83421,3.98e-05,3.98e-05,3.98e-05
