frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
122,23957554.968,06:39:17.555,30.000,640,480,1
123,23957586.972,06:39:17.587,30.000,640,480,1
124,23957618.937,06:39:17.619,30.000,640,480,1
125,23957650.914,06:39:17.651,30.000,640,480,1
126,23957682.961,06:39:17.683,30.000,640,480,1
127,23957718.954,06:39:17.719,30.000,640,480,1
128,23957750.924,06:39:17.751,30.000,640,480,1
129,23957782.869,06:39:17.783,30.000,640,480,1
130,23957814.895,06:39:17.815,30.000,640,480,1
131,23957846.902,06:39:17.847,30.000,640,480,1
132,23957882.910,06:39:17.883,30.000,640,480,1
133,23957914.923,06:39:17.915,30.000,640,480,1
134,23957946.880,06:39:17.947,30.000,640,480,1
135,23957978.918,06:39:17.979,30.000,640,480,1
136,23958010.904,06:39:18.011,30.000,640,480,1
137,23958046.903,06:39:18.047,30.000,640,480,1
138,23958078.922,06:39:18.079,30.000,640,480,1
139,23958110.880,06:39:18.111,30.000,640,480,1
140,23958142.880,06:39:18.143,30.000,640,480,1
141,23958174.904,06:39:18.175,30.000,640,480,1
142,23958210.930,06:39:18.211,30.000,640,480,1
143,23958242.955,06:39:18.243,30.000,640,480,1
144,23958274.889,06:39:18.275,30.000,640,480,1
145,23958306.966,06:39:18.307,30.000,640,480,1
146,23958342.920,06:39:18.343,30.000,640,480,1
147,23958374.899,06:39:18.375,30.000,640,480,1
148,23958406.928,06:39:18.407,30.000,640,480,1
149,23958438.894,06:39:18.439,30.000,640,480,1
150,23958470.898,06:39:18.471,30.000,640,480,1
151,23958506.904,06:39:18.507,30.000,640,480,1
152,23958538.905,06:39:18.539,30.000,640,480,1
153,23958570.937,06:39:18.571,30.000,640,480,1
154,23958602.870,06:39:18.603,30.000,640,480,1
155,23958634.867,06:39:18.635,30.000,640,480,1
156,23958670.901,06:39:18.671,30.000,640,480,1
157,23958702.914,06:39:18.703,30.000,640,480,1
158,23958734.900,06:39:18.735,30.000,640,480,1
159,23958766.857,06:39:18.767,30.000,640,480,1
160,23958798.939,06:39:18.799,30.000,640,480,1
161,23958834.945,06:39:18.835,30.000,640,480,1
162,23958866.956,06:39:18.867,30.000,640,480,1
163,23958898.956,06:39:18.899,30.000,640,480,1
164,23958930.922,06:39:18.931,30.000,640,480,1
165,23958962.861,06:39:18.963,30.000,640,480,1
166,23958998.996,06:39:18.999,30.000,640,480,1
167,23959030.928,06:39:19.031,30.000,640,480,1
168,23959062.871,06:39:19.063,30.000,640,480,1
169,23959094.860,06:39:19.095,30.000,640,480,1
170,23959126.860,06:39:19.127,30.000,640,480,1
171,23959162.912,06:39:19.163,30.000,640,480,1
172,23959194.897,06:39:19.195,30.000,640,480,1
173,23959226.867,06:39:19.227,30.000,640,480,1
174,23959258.884,06:39:19.259,30.000,640,480,1
175,23959290.864,06:39:19.291,30.000,640,480,1
176,23959326.927,06:39:19.327,30.000,640,480,1
177,23959358.920,06:39:19.359,30.000,640,480,1
178,23959390.854,06:39:19.391,30.000,640,480,1
179,23959422.903,06:39:19.423,30.000,640,480,1
180,23959454.901,06:39:19.455,30.000,640,480,1
181,23959490.892,06:39:19.491,30.000,640,480,1
182,23959522.907,06:39:19.523,30.000,640,480,1
183,23959554.853,06:39:19.555,30.000,640,480,1
184,23959586.894,06:39:19.587,30.000,640,480,1
185,23959618.891,06:39:19.619,30.000,640,480,1
186,23959654.955,06:39:19.655,30.000,640,480,1
187,23959686.898,06:39:19.687,30.000,640,480,1
